age,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,0.0005062,0.0007133,0.0009609,0.0012392,0.0015269,0.0017818,0.0019877,0.0021556,0.0023078,0.00282,0.0024604,0.0024023,0.0027233,0.0028192,0.0027961,0.0027228,0.002611,0.0024692,0.0023221,0.0020162,0.0017691,0.0015491,0.0013649,0.0011035,0.0008639,0.0006373,0.0003918,0.0003041,0.0002587,0.0002223,0.000164,0.0001286,0.0001263,0.0001296,0.0001282,9.71E-05,7.85E-05,7.32E-05,7.77E-05,7.13E-05,6.46E-05,5.65E-05,5.07E-05,4.69E-05,4.25E-05,4.00E-05
1,0.0005062,0.0007133,0.0009609,0.0012392,0.0015269,0.0017818,0.0019877,0.0021556,0.0023078,0.00282,0.0024604,0.0024023,0.0027233,0.0028192,0.0027961,0.0027228,0.002611,0.0024692,0.0023221,0.0020162,0.0017691,0.0015491,0.0013649,0.0011035,0.0008639,0.0006373,0.0003918,0.0003041,0.0002587,0.0002223,0.000164,0.0001286,0.0001263,0.0001296,0.0001282,9.71E-05,7.85E-05,7.32E-05,7.77E-05,7.13E-05,6.46E-05,5.65E-05,5.07E-05,4.69E-05,4.25E-05,4.00E-05
2,0.0005062,0.0007133,0.0009609,0.0012392,0.0015269,0.0017818,0.0019877,0.0021556,0.0023078,0.00282,0.0024604,0.0024023,0.0027233,0.0028192,0.0027961,0.0027228,0.002611,0.0024692,0.0023221,0.0020162,0.0017691,0.0015491,0.0013649,0.0011035,0.0008639,0.0006373,0.0003918,0.0003041,0.0002587,0.0002223,0.000164,0.0001286,0.0001263,0.0001296,0.0001282,9.71E-05,7.85E-05,7.32E-05,7.77E-05,7.13E-05,6.46E-05,5.65E-05,5.07E-05,4.69E-05,4.25E-05,4.00E-05
3,0.0005062,0.0007133,0.0009609,0.0012392,0.0015269,0.0017818,0.0019877,0.0021556,0.0023078,0.00282,0.0024604,0.0024023,0.0027233,0.0028192,0.0027961,0.0027228,0.002611,0.0024692,0.0023221,0.0020162,0.0017691,0.0015491,0.0013649,0.0011035,0.0008639,0.0006373,0.0003918,0.0003041,0.0002587,0.0002223,0.000164,0.0001286,0.0001263,0.0001296,0.0001282,9.71E-05,7.85E-05,7.32E-05,7.77E-05,7.13E-05,6.46E-05,5.65E-05,5.07E-05,4.69E-05,4.25E-05,4.00E-05
4,0.0005062,0.0007133,0.0009609,0.0012392,0.0015269,0.0017818,0.0019877,0.0021556,0.0023078,0.00282,0.0024604,0.0024023,0.0027233,0.0028192,0.0027961,0.0027228,0.002611,0.0024692,0.0023221,0.0020162,0.0017691,0.0015491,0.0013649,0.0011035,0.0008639,0.0006373,0.0003918,0.0003041,0.0002587,0.0002223,0.000164,0.0001286,0.0001263,0.0001296,0.0001282,9.71E-05,7.85E-05,7.32E-05,7.77E-05,7.13E-05,6.46E-05,5.65E-05,5.07E-05,4.69E-05,4.25E-05,4.00E-05
5,6.60E-06,1.06E-05,1.70E-05,2.63E-05,3.97E-05,5.91E-05,8.46E-05,0.0001156,0.0001512,0.0002217,0.0002216,0.0002377,0.000293,0.0003293,0.0003529,0.0003745,0.0003915,0.0004017,0.0004081,0.0004024,0.0003928,0.0003767,0.0003456,0.0003103,0.0002777,0.0002474,0.0002141,0.000164,0.0001303,9.89E-05,6.50E-05,4.41E-05,3.03E-05,2.48E-05,2.18E-05,1.90E-05,1.80E-05,1.68E-05,1.49E-05,1.26E-05,1.05E-05,8.80E-06,7.90E-06,6.80E-06,6.10E-06,5.60E-06
6,6.60E-06,1.06E-05,1.70E-05,2.63E-05,3.97E-05,5.91E-05,8.46E-05,0.0001156,0.0001512,0.0002217,0.0002216,0.0002377,0.000293,0.0003293,0.0003529,0.0003745,0.0003915,0.0004017,0.0004081,0.0004024,0.0003928,0.0003767,0.0003456,0.0003103,0.0002777,0.0002474,0.0002141,0.000164,0.0001303,9.89E-05,6.50E-05,4.41E-05,3.03E-05,2.48E-05,2.18E-05,1.90E-05,1.80E-05,1.68E-05,1.49E-05,1.26E-05,1.05E-05,8.80E-06,7.90E-06,6.80E-06,6.10E-06,5.60E-06
7,6.60E-06,1.06E-05,1.70E-05,2.63E-05,3.97E-05,5.91E-05,8.46E-05,0.0001156,0.0001512,0.0002217,0.0002216,0.0002377,0.000293,0.0003293,0.0003529,0.0003745,0.0003915,0.0004017,0.0004081,0.0004024,0.0003928,0.0003767,0.0003456,0.0003103,0.0002777,0.0002474,0.0002141,0.000164,0.0001303,9.89E-05,6.50E-05,4.41E-05,3.03E-05,2.48E-05,2.18E-05,1.90E-05,1.80E-05,1.68E-05,1.49E-05,1.26E-05,1.05E-05,8.80E-06,7.90E-06,6.80E-06,6.10E-06,5.60E-06
8,6.60E-06,1.06E-05,1.70E-05,2.63E-05,3.97E-05,5.91E-05,8.46E-05,0.0001156,0.0001512,0.0002217,0.0002216,0.0002377,0.000293,0.0003293,0.0003529,0.0003745,0.0003915,0.0004017,0.0004081,0.0004024,0.0003928,0.0003767,0.0003456,0.0003103,0.0002777,0.0002474,0.0002141,0.000164,0.0001303,9.89E-05,6.50E-05,4.41E-05,3.03E-05,2.48E-05,2.18E-05,1.90E-05,1.80E-05,1.68E-05,1.49E-05,1.26E-05,1.05E-05,8.80E-06,7.90E-06,6.80E-06,6.10E-06,5.60E-06
9,6.60E-06,1.06E-05,1.70E-05,2.63E-05,3.97E-05,5.91E-05,8.46E-05,0.0001156,0.0001512,0.0002217,0.0002216,0.0002377,0.000293,0.0003293,0.0003529,0.0003745,0.0003915,0.0004017,0.0004081,0.0004024,0.0003928,0.0003767,0.0003456,0.0003103,0.0002777,0.0002474,0.0002141,0.000164,0.0001303,9.89E-05,6.50E-05,4.41E-05,3.03E-05,2.48E-05,2.18E-05,1.90E-05,1.80E-05,1.68E-05,1.49E-05,1.26E-05,1.05E-05,8.80E-06,7.90E-06,6.80E-06,6.10E-06,5.60E-06
