"Age","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
0,0.0005132,0.0007229,0.0009729,0.0012541,0.0015451,0.0018033,0.0020115,0.0021818,0.0023352,0.0028549,0.0024902,0.0024322,0.0027588,0.0028596,0.00284,0.0027699,0.0026646,0.0025233,0.0023677,0.0020518,0.001796,0.0015683,0.0013791,0.001114,0.0008723,0.0006432,0.0003951,0.0003063,0.0002605,0.0002238,0.0001649,0.0001293,0.000127,0.0001302,0.0001288,9.75e-05,7.89e-05,7.36e-05,7.8e-05,7.17e-05,6.49e-05,5.68e-05,5.1e-05,4.71e-05,4.28e-05,4.02e-05
1,0.0005132,0.0007229,0.0009729,0.0012541,0.0015451,0.0018033,0.0020115,0.0021818,0.0023352,0.0028549,0.0024902,0.0024322,0.0027588,0.0028596,0.00284,0.0027699,0.0026646,0.0025233,0.0023677,0.0020518,0.001796,0.0015683,0.0013791,0.001114,0.0008723,0.0006432,0.0003951,0.0003063,0.0002605,0.0002238,0.0001649,0.0001293,0.000127,0.0001302,0.0001288,9.75e-05,7.89e-05,7.36e-05,7.8e-05,7.17e-05,6.49e-05,5.68e-05,5.1e-05,4.71e-05,4.28e-05,4.02e-05
2,0.0005132,0.0007229,0.0009729,0.0012541,0.0015451,0.0018033,0.0020115,0.0021818,0.0023352,0.0028549,0.0024902,0.0024322,0.0027588,0.0028596,0.00284,0.0027699,0.0026646,0.0025233,0.0023677,0.0020518,0.001796,0.0015683,0.0013791,0.001114,0.0008723,0.0006432,0.0003951,0.0003063,0.0002605,0.0002238,0.0001649,0.0001293,0.000127,0.0001302,0.0001288,9.75e-05,7.89e-05,7.36e-05,7.8e-05,7.17e-05,6.49e-05,5.68e-05,5.1e-05,4.71e-05,4.28e-05,4.02e-05
3,0.0005132,0.0007229,0.0009729,0.0012541,0.0015451,0.0018033,0.0020115,0.0021818,0.0023352,0.0028549,0.0024902,0.0024322,0.0027588,0.0028596,0.00284,0.0027699,0.0026646,0.0025233,0.0023677,0.0020518,0.001796,0.0015683,0.0013791,0.001114,0.0008723,0.0006432,0.0003951,0.0003063,0.0002605,0.0002238,0.0001649,0.0001293,0.000127,0.0001302,0.0001288,9.75e-05,7.89e-05,7.36e-05,7.8e-05,7.17e-05,6.49e-05,5.68e-05,5.1e-05,4.71e-05,4.28e-05,4.02e-05
4,0.0005132,0.0007229,0.0009729,0.0012541,0.0015451,0.0018033,0.0020115,0.0021818,0.0023352,0.0028549,0.0024902,0.0024322,0.0027588,0.0028596,0.00284,0.0027699,0.0026646,0.0025233,0.0023677,0.0020518,0.001796,0.0015683,0.0013791,0.001114,0.0008723,0.0006432,0.0003951,0.0003063,0.0002605,0.0002238,0.0001649,0.0001293,0.000127,0.0001302,0.0001288,9.75e-05,7.89e-05,7.36e-05,7.8e-05,7.17e-05,6.49e-05,5.68e-05,5.1e-05,4.71e-05,4.28e-05,4.02e-05
5,6.6e-06,1.07e-05,1.71e-05,2.65e-05,4.01e-05,5.95e-05,8.52e-05,0.0001164,0.0001521,0.0002231,0.0002229,0.0002391,0.0002948,0.0003321,0.000356,0.0003779,0.000395,0.0004047,0.0004107,0.0004049,0.0003953,0.0003791,0.000348,0.0003126,0.0002796,0.0002489,0.0002153,0.0001647,0.0001308,9.92e-05,6.52e-05,4.43e-05,3.04e-05,2.49e-05,2.18e-05,1.9e-05,1.8e-05,1.68e-05,1.49e-05,1.27e-05,1.05e-05,8.8e-06,7.9e-06,6.8e-06,6.1e-06,5.7e-06
6,6.6e-06,1.07e-05,1.71e-05,2.65e-05,4.01e-05,5.95e-05,8.52e-05,0.0001164,0.0001521,0.0002231,0.0002229,0.0002391,0.0002948,0.0003321,0.000356,0.0003779,0.000395,0.0004047,0.0004107,0.0004049,0.0003953,0.0003791,0.000348,0.0003126,0.0002796,0.0002489,0.0002153,0.0001647,0.0001308,9.92e-05,6.52e-05,4.43e-05,3.04e-05,2.49e-05,2.18e-05,1.9e-05,1.8e-05,1.68e-05,1.49e-05,1.27e-05,1.05e-05,8.8e-06,7.9e-06,6.8e-06,6.1e-06,5.7e-06
7,6.6e-06,1.07e-05,1.71e-05,2.65e-05,4.01e-05,5.95e-05,8.52e-05,0.0001164,0.0001521,0.0002231,0.0002229,0.0002391,0.0002948,0.0003321,0.000356,0.0003779,0.000395,0.0004047,0.0004107,0.0004049,0.0003953,0.0003791,0.000348,0.0003126,0.0002796,0.0002489,0.0002153,0.0001647,0.0001308,9.92e-05,6.52e-05,4.43e-05,3.04e-05,2.49e-05,2.18e-05,1.9e-05,1.8e-05,1.68e-05,1.49e-05,1.27e-05,1.05e-05,8.8e-06,7.9e-06,6.8e-06,6.1e-06,5.7e-06
8,6.6e-06,1.07e-05,1.71e-05,2.65e-05,4.01e-05,5.95e-05,8.52e-05,0.0001164,0.0001521,0.0002231,0.0002229,0.0002391,0.0002948,0.0003321,0.000356,0.0003779,0.000395,0.0004047,0.0004107,0.0004049,0.0003953,0.0003791,0.000348,0.0003126,0.0002796,0.0002489,0.0002153,0.0001647,0.0001308,9.92e-05,6.52e-05,4.43e-05,3.04e-05,2.49e-05,2.18e-05,1.9e-05,1.8e-05,1.68e-05,1.49e-05,1.27e-05,1.05e-05,8.8e-06,7.9e-06,6.8e-06,6.1e-06,5.7e-06
9,6.6e-06,1.07e-05,1.71e-05,2.65e-05,4.01e-05,5.95e-05,8.52e-05,0.0001164,0.0001521,0.0002231,0.0002229,0.0002391,0.0002948,0.0003321,0.000356,0.0003779,0.000395,0.0004047,0.0004107,0.0004049,0.0003953,0.0003791,0.000348,0.0003126,0.0002796,0.0002489,0.0002153,0.0001647,0.0001308,9.92e-05,6.52e-05,4.43e-05,3.04e-05,2.49e-05,2.18e-05,1.9e-05,1.8e-05,1.68e-05,1.49e-05,1.27e-05,1.05e-05,8.8e-06,7.9e-06,6.8e-06,6.1e-06,5.7e-06
10,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
11,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
12,1e-07,6e-07,1.2e-06,2.1e-06,3.8e-06,6.5e-06,1.05e-05,1.66e-05,2.55e-05,4.47e-05,5.54e-05,7.34e-05,0.0001108,0.0001497,0.0001885,0.000227,0.0002622,0.0002919,0.0003164,0.000342,0.0003696,0.0003859,0.0003781,0.0003594,0.000334,0.0003112,0.000281,0.0002348,0.000219,0.000203,0.0001679,0.0001569,0.0001335,0.0001036,7.5e-05,5.73e-05,4.02e-05,3.09e-05,2.5e-05,2.14e-05,1.7e-05,1.25e-05,1.09e-05,9.3e-06,8.1e-06,6.8e-06
