scenario,rep,tracked,sim_total,n_cancer_uids
sTT18,0,81538.5709274853,81991.30985390964,27375
sTT18,1,42212.406472487644,42468.560808206654,14172
sTT18,2,55324.10653543332,55714.29576631539,18574
sTT70,0,76248.61651773186,76665.61219160071,25599
sTT70,1,38566.62708197299,38831.71764804547,12948
sTT70,2,52548.07190147935,52911.454570652095,17642
sT70,0,59482.20133049742,59830.68992659947,19970
sT70,1,30307.030472582912,30545.31469609668,10175
sT70,2,41053.73965638454,41360.53003556561,13783
sTxV70,0,58499.270612466506,58871.58770942553,19640
sTxV70,1,32198.42746030675,32454.582968336083,10810
sTxV70,2,42337.50674569158,42632.38290800886,14214
sTxV18,0,77314.94741789612,77702.15722421839,25957
sTxV18,1,39790.82261261149,40043.99868885699,13359
sTxV18,2,52732.743733351825,53087.19036358222,17704
hpvfaster70,0,42397.07830436012,42632.38230993081,14234
hpvfaster70,1,22348.270234475676,22494.219454149472,7503
hpvfaster70,2,28764.127103069608,28966.6686576878,9657
hpvfaster70_ablate_only,0,53730.56734104987,54076.07720498975,18039
hpvfaster70_ablate_only,1,28737.319901668798,28927.947223890176,9648
hpvfaster70_ablate_only,2,37836.875488283375,38084.09483697247,12703
hpvfaster70_vax_only,0,66035.07278403561,66365.69121409957,22170
hpvfaster70_vax_only,1,33339.2228088086,33562.61375762123,11193
hpvfaster70_vax_only,2,44631.01175443037,44928.86625555819,14984
