scenario,rep,tracked,sim_total,n_cancer_uids,accounting_start
No interventions,0,80079.06774010963,80519.89154367583,26885,2030
No interventions,1,38173.454794760626,38438.54508842509,12816,2030
No interventions,2,53572.70271057824,53918.21353543776,17986,2030
No interventions,3,50364.774276277356,50757.941675098824,16909,2030
No interventions,4,84201.41959996254,84645.22081749002,28269,2030
Baseline,0,75462.27194330905,75885.22515530325,25335,2030
Baseline,1,37399.024532069605,37673.05067826316,12556,2030
Baseline,2,53206.33762476672,53572.69877256232,17863,2030
Baseline,3,51100.483025833826,51493.650275412336,17156,2030
Baseline,4,80787.96928826353,81207.94230230534,27123,2030
S&T&T 70%,0,73797.24687852742,74193.39237259672,24776,2030
S&T&T 70%,1,33735.37367395439,33946.8502350248,11326,2030
S&T&T 70%,2,48032.54775440401,48372.10199429572,16126,2030
S&T&T 70%,3,46873.88093830091,47243.21977135854,15737,2030
S&T&T 70%,4,75408.6575405075,75828.63178010301,25317,2030
S&TxV 70%,0,54162.46114139679,54519.88713516056,18184,2030
S&TxV 70%,1,27125.909239686756,27379.086523192036,9107,2030
S&TxV 70%,2,35701.23511001621,35945.475976755326,11986,2030
S&TxV 70%,3,35037.01223086199,35388.48068263766,11763,2030
S&TxV 70%,4,54087.99669306111,54460.31424163514,18159,2030
HPV-Faster 70%,0,38200.26199616147,38456.41681789284,12825,2030
HPV-Faster 70%,1,18547.60479142746,18693.554110965575,6227,2030
HPV-Faster 70%,2,26011.921092586417,26241.270033909543,8733,2030
HPV-Faster 70%,3,25100.476244958867,25317.910093939863,8427,2030
HPV-Faster 70%,4,40684.39599263959,40988.207522034,13659,2030
"Mass TxV 50/90, 70%",0,41994.97028334747,42271.97466071707,14099,2030
"Mass TxV 50/90, 70%",1,21874.67634306136,22059.34694216201,7344,2030
"Mass TxV 50/90, 70%",2,33315.39418534118,33601.3354937867,11185,2030
"Mass TxV 50/90, 70%",3,30348.73056365084,30631.692501904134,10189,2030
"Mass TxV 50/90, 70%",4,46150.086500478144,46486.6618700572,15494,2030
