scenario,metric,value,low,high
No interventions,asr_cancer_incidence,2216.109363608095,1865.0718006014845,2550.72218508559
No interventions,cancer_incidence,2291.566239595413,1931.4028831005096,2661.1259885311124
No interventions,cancer_incidence_with_hiv,7171.55583012104,6344.322602510452,8702.920328974724
No interventions,cancer_incidence_no_hiv,2244.1128113269806,1892.609847187996,2602.6733605384825
No interventions,cancers,304319.7891945924,255505.6688085431,355562.3441605522
No interventions,cancers_with_hiv,7488.14479951875,6502.235521531171,8657.534482699131
No interventions,cancers_no_hiv,295242.59670055204,247535.90635552414,344686.98850727675
No interventions,cancer_deaths,257828.66165826272,217436.76689585764,297387.1478776445
No interventions,yll,7467485.792602936,6284694.007729011,8757853.230475422
No interventions,yld,421218.6886813176,352111.63448075886,494356.3153867188
No interventions,dalys,7896707.824816916,6636805.64220977,9250683.121694917
No interventions,screens,0.0,0.0,0.0
No interventions,ablations,0.0,0.0,0.0
No interventions,leeps,0.0,0.0,0.0
No interventions,cancer_treatments,0.0,0.0,0.0
No interventions,vaccinations,0.0,0.0,0.0
No interventions,txvs,0.0,0.0,0.0
No interventions,excisions,0.0,0.0,0.0
Baseline,asr_cancer_incidence,903.7393311321282,808.6808315804732,1229.5650394055995
Baseline,cancer_incidence,854.0796292424202,731.4391944169998,1201.6981709003448
Baseline,cancer_incidence_with_hiv,4536.686370253563,4042.8101046085358,5543.1137012958525
Baseline,cancer_incidence_no_hiv,818.3731833100319,694.0718040794134,1158.7573288202286
Baseline,cancers,100969.31674138152,82641.53221202045,149433.45266258757
Baseline,cancers_with_hiv,4610.838574085915,4277.5357146538045,5908.604928969545
Baseline,cancers_no_hiv,95604.9036959607,77499.91592542225,142798.68315886366
Baseline,cancer_deaths,93957.74518599347,80054.04167049615,129700.07938027453
Baseline,yll,1879327.1313359896,1341539.2592002884,2860785.2362817335
Baseline,yld,129299.14723273626,101516.11409425754,200959.82347396953
Baseline,dalys,2005225.8638061495,1443055.373294546,3061745.0597557025
Baseline,screens,7833809.0689,6514090.51444,10021008.680079998
Baseline,ablations,1102073.86,675571.27618,1762841.60352
Baseline,leeps,53465.475099999996,35653.57866,84204.40005999999
Baseline,cancer_treatments,119143.12,86229.8331,174365.95612
Baseline,vaccinations,13539722.014600001,13510740.45066,13571265.155620001
Baseline,txvs,0.0,0.0,0.0
Baseline,excisions,0.0,0.0,0.0
S&T&T 18%,asr_cancer_incidence,903.7393311321282,808.6808315804732,1229.5650394055995
S&T&T 18%,cancer_incidence,854.0796292424202,731.4391944169998,1201.6981709003448
S&T&T 18%,cancer_incidence_with_hiv,4536.686370253563,4042.8101046085358,5543.1137012958525
S&T&T 18%,cancer_incidence_no_hiv,818.3731833100319,694.0718040794134,1158.7573288202286
S&T&T 18%,cancers,100969.31674138152,82641.53221202045,149433.45266258757
S&T&T 18%,cancers_with_hiv,4610.838574085915,4277.5357146538045,5908.604928969545
S&T&T 18%,cancers_no_hiv,95604.9036959607,77499.91592542225,142798.68315886366
S&T&T 18%,cancer_deaths,93957.74518599347,80054.04167049615,129700.07938027453
S&T&T 18%,yll,1879327.1313359896,1341539.2592002884,2860785.2362817335
S&T&T 18%,yld,129299.14723273626,101516.11409425754,200959.82347396953
S&T&T 18%,dalys,2005225.8638061495,1443055.373294546,3061745.0597557025
S&T&T 18%,screens,7833809.0689,6514090.51444,10021008.680079998
S&T&T 18%,ablations,1102073.86,675571.27618,1762841.60352
S&T&T 18%,leeps,53465.475099999996,35653.57866,84204.40005999999
S&T&T 18%,cancer_treatments,119143.12,86229.8331,174365.95612
S&T&T 18%,vaccinations,13539722.014600001,13510740.45066,13571265.155620001
S&T&T 18%,txvs,0.0,0.0,0.0
S&T&T 18%,excisions,0.0,0.0,0.0
S&T 18%,asr_cancer_incidence,876.6809577682928,757.0931513446209,1165.363402432891
S&T 18%,cancer_incidence,808.1631138026714,705.1096855521203,1131.9059638500214
S&T 18%,cancer_incidence_with_hiv,4348.871756315231,3783.153400635719,5113.300006914139
S&T 18%,cancer_incidence_no_hiv,773.3659432828426,668.2907389849424,1090.635481762886
S&T 18%,cancers,94754.51460315059,79322.80113892024,139982.42612614483
S&T 18%,cancers_with_hiv,4531.906243315694,4033.2923282740944,5468.3711360414545
S&T 18%,cancers_no_hiv,89640.30117817051,74235.98995290246,133666.95837011124
S&T 18%,cancer_deaths,89251.59245008783,77779.59990517778,122090.70767333005
S&T 18%,yll,1737624.2332075753,1270688.425214268,2643203.0742644346
S&T 18%,yld,120417.50985677118,96561.63130706675,187076.4566460972
S&T 18%,dalys,1858680.5359263145,1367250.056521335,2830279.5309105315
S&T 18%,screens,7698432.698799999,6464199.33294,9808159.496199999
S&T 18%,ablations,2079792.0885,1274384.5973,3339343.36736
S&T 18%,leeps,94569.8515,63175.63938,155154.12802
S&T 18%,cancer_treatments,118398.4755,83876.75648,157864.634
S&T 18%,vaccinations,13557295.6248,13539453.942580001,13562240.06428
S&T 18%,txvs,0.0,0.0,0.0
S&T 18%,excisions,0.0,0.0,0.0
S&TxV&T&T 18%,asr_cancer_incidence,887.8959428789707,781.045361926935,1167.2555229860525
S&TxV&T&T 18%,cancer_incidence,844.4417929947376,709.0742222189904,1124.6444051265717
S&TxV&T&T 18%,cancer_incidence_with_hiv,4522.380814194679,3877.075547027588,5184.57672317028
S&TxV&T&T 18%,cancer_incidence_no_hiv,809.3824389874935,671.4854117035866,1081.437108039856
S&TxV&T&T 18%,cancers,99631.93531529594,79408.88175630466,138236.9801891107
S&TxV&T&T 18%,cancers_with_hiv,4625.731444612316,4089.289596473877,5700.700234322094
S&TxV&T&T 18%,cancers_no_hiv,94438.79056679117,74245.52185634049,131595.0606334992
S&TxV&T&T 18%,cancer_deaths,92475.90174425123,77616.37372440865,120753.62407369142
S&TxV&T&T 18%,yll,1810147.4737139153,1262165.4654384546,2632145.2798108626
S&TxV&T&T 18%,yld,127497.00803859634,96786.20799333972,184118.00737610317
S&TxV&T&T 18%,dalys,1937644.4817525116,1358951.6734317944,2816263.2871869653
S&TxV&T&T 18%,screens,7721516.6783,6395960.11096,9600046.25134
S&TxV&T&T 18%,ablations,1063054.4882,623386.58962,1586956.57262
S&TxV&T&T 18%,leeps,50337.9682,29785.78,76400.52569999998
S&TxV&T&T 18%,cancer_treatments,109760.5993,83698.04179999999,160545.3542
S&TxV&T&T 18%,vaccinations,13546423.8151,13519974.04246,13578890.315299999
S&TxV&T&T 18%,txvs,2819968.7215,1663178.3836400001,4266574.698759999
S&TxV&T&T 18%,excisions,0.0,0.0,0.0
S&TxV 18%,asr_cancer_incidence,863.5866253873114,749.7385621981383,1103.4032526487422
S&TxV 18%,cancer_incidence,816.6621268987656,695.0212758421898,1055.7383987188339
S&TxV 18%,cancer_incidence_with_hiv,4318.995563983917,3588.75118663311,4997.214895915985
S&TxV 18%,cancer_incidence_no_hiv,783.4848686754704,657.7579476296902,1014.4483714461326
S&TxV 18%,cancers,95904.24562248192,78824.18704512101,128852.6735663024
S&TxV 18%,cancers_with_hiv,4508.0776181838955,3874.2362839946204,5477.604762032878
S&TxV 18%,cancers_no_hiv,90982.15082317898,73788.90570341334,122599.75506817308
