scenario,metric,value,low,high
No interventions,asr_cancer_incidence,-1286.8467776552131,-1498.73044825712,-1048.3051301487017
No interventions,cancer_incidence,-1436.4966990351677,-1676.899574816227,-1150.5118381738662
No interventions,cancer_incidence_with_hiv,-2943.8779180049896,-3187.446041059494,-1966.128232908249
No interventions,cancer_incidence_no_hiv,-1422.4035952091217,-1665.3594049066305,-1145.2968311667441
No interventions,cancers,-203179.2053674306,-237840.61805361902,-162752.46106511264
No interventions,cancers_with_hiv,-2749.227397597363,-3089.3809796741884,-1948.8835043898289
No interventions,cancers_no_hiv,-199082.18847105635,-233666.75360982775,-160483.6914111629
No interventions,cancer_deaths,-163501.57216301098,-189607.31586313448,-130323.49650592628
No interventions,yll,-5449406.418224886,-6471339.140693676,-4616466.421360517
No interventions,yld,-291038.2828262069,-342364.2939956022,-235514.91727087513
No interventions,dalys,-5740444.701051094,-6784427.12779616,-4851981.338631392
No interventions,screens,0.0,0.0,0.0
No interventions,ablations,0.0,0.0,0.0
No interventions,leeps,0.0,0.0,0.0
No interventions,cancer_treatments,0.0,0.0,0.0
No interventions,vaccinations,0.0,0.0,0.0
No interventions,txvs,0.0,0.0,0.0
No interventions,excisions,0.0,0.0,0.0
Baseline,asr_cancer_incidence,0.0,0.0,0.0
Baseline,cancer_incidence,0.0,0.0,0.0
Baseline,cancer_incidence_with_hiv,0.0,0.0,0.0
Baseline,cancer_incidence_no_hiv,0.0,0.0,0.0
Baseline,cancers,0.0,0.0,0.0
Baseline,cancers_with_hiv,0.0,0.0,0.0
Baseline,cancers_no_hiv,0.0,0.0,0.0
Baseline,cancer_deaths,0.0,0.0,0.0
Baseline,yll,0.0,0.0,0.0
Baseline,yld,0.0,0.0,0.0
Baseline,dalys,0.0,0.0,0.0
Baseline,screens,0.0,0.0,0.0
Baseline,ablations,0.0,0.0,0.0
Baseline,leeps,0.0,0.0,0.0
Baseline,cancer_treatments,0.0,0.0,0.0
Baseline,vaccinations,0.0,0.0,0.0
Baseline,txvs,0.0,0.0,0.0
Baseline,excisions,0.0,0.0,0.0
S&T&T 18%,asr_cancer_incidence,0.0,0.0,0.0
S&T&T 18%,cancer_incidence,0.0,0.0,0.0
S&T&T 18%,cancer_incidence_with_hiv,0.0,0.0,0.0
S&T&T 18%,cancer_incidence_no_hiv,0.0,0.0,0.0
