scenario,sim,metric,value
Baseline,0,ablations,676435.0638
Baseline,0,asr_cancer_incidence,744.1256808068922
Baseline,0,cancer_deaths,74869.52973547291
Baseline,0,cancer_incidence,678.7083983421326
Baseline,0,cancer_incidence_no_hiv,649.8026953339577
Baseline,0,cancer_incidence_with_hiv,3586.2551033496857
Baseline,0,cancer_treatments,84889.473
Baseline,0,cancers,77824.27958081439
Baseline,0,cancers_no_hiv,73642.35978515378
Baseline,0,cancers_with_hiv,3583.2291828937496
Baseline,0,dalys,1406556.9450248932
Baseline,0,excisions,0.0
Baseline,0,leeps,32168.6424
Baseline,0,screens,6441174.925
Baseline,0,txvs,0.0
Baseline,0,vaccinations,13540317.7302
Baseline,0,yld,96653.92831422531
Baseline,0,yll,1309903.0167106679
Baseline,1,ablations,1230450.5718
Baseline,1,asr_cancer_incidence,984.2235017299008
Baseline,1,cancer_deaths,104053.63336117838
Baseline,1,cancer_incidence,938.9463400840759
Baseline,1,cancer_incidence_no_hiv,889.731382727623
Baseline,1,cancer_incidence_with_hiv,5518.960819721222
Baseline,1,cancer_treatments,140588.8816
Baseline,1,cancers,114022.93260694605
Baseline,1,cancers_no_hiv,107076.89619293575
Baseline,1,cancers_with_hiv,6088.213218800154
Baseline,1,dalys,2239351.784911669
Baseline,1,excisions,0.0
Baseline,1,leeps,58082.271
Baseline,1,screens,8335848.3908
Baseline,1,txvs,0.0
Baseline,1,vaccinations,13570401.368
Baseline,1,yld,147702.31886112777
Baseline,1,yll,2091649.466050541
Baseline,2,ablations,1028800.8412
Baseline,2,asr_cancer_incidence,815.8536261108711
Baseline,2,cancer_deaths,85997.49444972494
Baseline,2,cancer_incidence,772.9261438846588
Baseline,2,cancer_incidence_no_hiv,734.7850503921509
Baseline,2,cancer_incidence_with_hiv,4268.146675825119
Baseline,2,cancer_treatments,112888.1062
Baseline,2,cancers,93023.95947122082
Baseline,2,cancers_no_hiv,87823.36866208386
Baseline,2,cancers_with_hiv,4569.138483295386
Baseline,2,dalys,1885284.2562531992
Baseline,2,excisions,0.0
Baseline,2,leeps,48848.6792
Baseline,2,screens,7528058.0372
Baseline,2,txvs,0.0
Baseline,2,vaccinations,13538828.4412
Baseline,2,yld,119974.63945374847
Baseline,2,yll,1765309.6167994507
Baseline,3,ablations,1738298.1208
