scenario,metric,year,value,low,high
Baseline,asr_cancer_incidence,1960,0.0,0.0,0.0
Baseline,asr_cancer_incidence,1961,0.0,0.0,0.0
Baseline,asr_cancer_incidence,1962,0.0,0.0,0.0
Baseline,asr_cancer_incidence,1963,0.0,0.0,0.023195331045526194
Baseline,asr_cancer_incidence,1964,0.0,0.0,0.0
Baseline,asr_cancer_incidence,1965,0.2338318325813405,0.0,0.5091670184250552
Baseline,asr_cancer_incidence,1966,0.7306946526106648,0.47372164728640676,1.2184957674253096
Baseline,asr_cancer_incidence,1967,1.1232419358967198,0.7149817345733079,2.0683871268940073
Baseline,asr_cancer_incidence,1968,2.1525929162436386,1.289871926609649,3.298945541327495
Baseline,asr_cancer_incidence,1969,4.078281336771635,2.816777396601299,4.59967086987856
Baseline,asr_cancer_incidence,1970,5.715433828976223,4.43014513138871,7.318852992071385
Baseline,asr_cancer_incidence,1971,6.073784435922109,4.286401138347611,8.924442387308835
Baseline,asr_cancer_incidence,1972,8.257885452915346,6.480499067252655,11.98063438730082
Baseline,asr_cancer_incidence,1973,11.89043478471929,9.80413060688559,14.245139910719912
Baseline,asr_cancer_incidence,1974,14.903422778839769,13.356631317052635,16.10025960637359
Baseline,asr_cancer_incidence,1975,15.263155947937781,13.835671400348184,17.32731951025226
Baseline,asr_cancer_incidence,1976,19.348036955945787,16.435906417457907,23.51194864980593
Baseline,asr_cancer_incidence,1977,21.69364875678079,18.607804014382825,23.22329740020213
Baseline,asr_cancer_incidence,1978,22.18919476264181,17.930744759646906,27.210467709740424
Baseline,asr_cancer_incidence,1979,24.688403409418868,22.50869802492112,25.59284806708295
Baseline,asr_cancer_incidence,1980,23.729230022087215,20.978410483106128,30.832077313267906
Baseline,asr_cancer_incidence,1981,24.970675973637906,22.92060582767918,31.923620451318335
Baseline,asr_cancer_incidence,1982,26.93141980279527,25.67506944010651,32.53674954870994
Baseline,asr_cancer_incidence,1983,27.15379459059399,25.880890127248882,34.52773079755228
Baseline,asr_cancer_incidence,1984,27.41657921323153,23.328163800776057,30.922422108912613
Baseline,asr_cancer_incidence,1985,29.22846130538977,24.307678459507773,33.9522524647885
Baseline,asr_cancer_incidence,1986,30.913028533272687,23.755121162277703,33.60248552838288
Baseline,asr_cancer_incidence,1987,28.763956354774685,24.961756172724535,34.42117140684705
Baseline,asr_cancer_incidence,1988,29.456256310955403,27.175804883350395,35.20600221593347
Baseline,asr_cancer_incidence,1989,29.790909869170243,27.454989327750187,34.31730020752778
Baseline,asr_cancer_incidence,1990,26.36283134448866,25.741327504700088,32.780953883744615
Baseline,asr_cancer_incidence,1991,28.800698889936232,26.189889214780905,33.942961327641264
Baseline,asr_cancer_incidence,1992,29.40148388872906,26.40122295076381,32.871788833659345
Baseline,asr_cancer_incidence,1993,28.187478228363013,24.398821730434243,29.952360397402405
Baseline,asr_cancer_incidence,1994,25.748581911686117,21.96731597515408,31.56623792984368
Baseline,asr_cancer_incidence,1995,34.508568342010754,31.31820532906661,43.30854912315786
Baseline,asr_cancer_incidence,1996,36.64717238954669,33.29224969346513,42.145442370738735
Baseline,asr_cancer_incidence,1997,29.43377667374415,25.71764626788874,33.458094175976
Baseline,asr_cancer_incidence,1998,26.59518814690498,22.53419572523153,31.2832030288413
Baseline,asr_cancer_incidence,1999,23.65567162992977,18.382552696527995,24.995633725673834
Baseline,asr_cancer_incidence,2000,20.317233307721963,17.809685960548023,23.64393968677368
Baseline,asr_cancer_incidence,2001,22.262235047741918,15.521119262105364,23.734005830127295
Baseline,asr_cancer_incidence,2002,18.19264324509997,14.150611843285594,22.065148879318407
Baseline,asr_cancer_incidence,2003,17.425675643183347,13.665695307772216,22.364158133878433
Baseline,asr_cancer_incidence,2004,17.58419541210143,14.706386787333564,19.596981087691802
Baseline,asr_cancer_incidence,2005,18.40345051341992,15.466036376821686,21.27963301115274
Baseline,asr_cancer_incidence,2006,18.116692223532564,15.568545877497348,21.180364367193487
Baseline,asr_cancer_incidence,2007,18.09247743637718,15.42862266973618,21.432528066149523
Baseline,asr_cancer_incidence,2008,17.96735359639929,13.624361418540875,21.025535764266763
Baseline,asr_cancer_incidence,2009,18.54734396119403,15.278989904700962,20.0719940760018
Baseline,asr_cancer_incidence,2010,19.512980963057437,15.088530738205247,23.8079412368729
Baseline,asr_cancer_incidence,2011,20.489868646128134,17.467131952099123,21.77275893671757
