scenario,metric,value,low,high
No interventions,asr_cancer_incidence,-1286.8467776552131,-1498.73044825712,-1048.3051301487017
No interventions,cancer_incidence,-1436.4966990351677,-1676.899574816227,-1150.5118381738662
No interventions,cancer_incidence_with_hiv,-2943.8779180049896,-3187.446041059494,-1966.128232908249
No interventions,cancer_incidence_no_hiv,-1422.4035952091217,-1665.3594049066305,-1145.2968311667441
No interventions,cancers,-203179.2053674306,-237840.61805361902,-162752.46106511264
No interventions,cancers_with_hiv,-2749.227397597363,-3089.3809796741884,-1948.8835043898289
No interventions,cancers_no_hiv,-199082.18847105635,-233666.75360982775,-160483.6914111629
No interventions,cancer_deaths,-163501.57216301098,-189607.31586313448,-130323.49650592628
No interventions,screens,0.0,0.0,0.0
No interventions,ablations,0.0,0.0,0.0
No interventions,leeps,0.0,0.0,0.0
No interventions,cancer_treatments,0.0,0.0,0.0
No interventions,vaccinations,0.0,0.0,0.0
No interventions,txvs,0.0,0.0,0.0
S&T&T 18%,asr_cancer_incidence,0.0,0.0,0.0
S&T&T 18%,cancer_incidence,0.0,0.0,0.0
S&T&T 18%,cancer_incidence_with_hiv,0.0,0.0,0.0
S&T&T 18%,cancer_incidence_no_hiv,0.0,0.0,0.0
S&T&T 18%,cancers,0.0,0.0,0.0
S&T&T 18%,cancers_with_hiv,0.0,0.0,0.0
S&T&T 18%,cancers_no_hiv,0.0,0.0,0.0
S&T&T 18%,cancer_deaths,0.0,0.0,0.0
S&T&T 18%,screens,0.0,0.0,0.0
S&T&T 18%,ablations,0.0,0.0,0.0
S&T&T 18%,leeps,0.0,0.0,0.0
S&T&T 18%,cancer_treatments,0.0,0.0,0.0
S&T&T 18%,vaccinations,0.0,0.0,0.0
S&T&T 18%,txvs,0.0,0.0,0.0
S&T&T 18% (cap10),asr_cancer_incidence,-46.930159341499746,-56.80747844042666,-5.845207997524547
S&T&T 18% (cap10),cancer_incidence,-47.87296959757805,-62.98969053030014,-2.7916181087493985
S&T&T 18% (cap10),cancer_incidence_with_hiv,-112.79743754863739,-312.555010175705,304.79332857131953
S&T&T 18% (cap10),cancer_incidence_no_hiv,-48.72058413922787,-62.85757218599319,-0.8314590990543458
S&T&T 18% (cap10),cancers,-6100.127429837034,-8815.39838693295,124.50432265786816
