parameter,description,prior_source,prior_low,prior_high,prior_guess,posterior_mean,posterior_median,posterior_ci_lo,posterior_ci_hi,posterior_min,posterior_max
beta,HPV transmission probability per act,HPVsim defaults; range widened to accommodate Rwanda-specific fit,0.0200,0.7000,0.0500,0.4732,0.4600,0.2800,0.6800,0.2000,0.6800
hpv16.cin_fn.k,HPV16 dose-response shape (dysplasia progression rate),Prior from HPVsim natural-history calibration (Stuart et al. 2024),0.2500,0.3500,0.3000,0.3168,0.3300,0.2600,0.3500,0.2500,0.3500
hpv18.cin_fn.k,HPV18 dose-response shape (dysplasia progression rate),Prior from HPVsim natural-history calibration (Stuart et al. 2024),0.2000,0.3000,0.2500,0.2438,0.2400,0.2200,0.2777,0.2100,0.2800
hi5.cin_fn.k,Pooled Hi5 (31/33/45/52/58) dose-response shape,Prior from HPVsim natural-history calibration (Stuart et al. 2024),0.1500,0.2500,0.2000,0.1986,0.2000,0.1500,0.2400,0.1500,0.2400
ohr.cin_fn.k,Pooled OHR (35/39/51/56/59) dose-response shape,Prior from HPVsim natural-history calibration (Stuart et al. 2024),0.1500,0.2500,0.2000,0.1988,0.1700,0.1500,0.2500,0.1500,0.2500
age_risk.risk,Age-dependent multiplier on HPV acquisition risk,Introduced in this study to fit the observed age distribution of causal infection,1.5000,3.5000,2.0000,2.7450,3.0000,1.5000,3.5000,1.5000,3.5000
imm_init.low,Lower bound of initial humoral immunity after natural clearance,Introduced in this study; prior from HPVsim natural-history defaults,0.3000,0.8500,0.5000,0.6070,0.6000,0.5000,0.8500,0.4500,0.8500
cell_imm_init.low,Lower bound of initial cell-mediated immunity after lesion regression,Introduced in this study; prior from HPVsim natural-history defaults,0.2000,0.7000,0.3000,0.3340,0.2500,0.2000,0.6887,0.2000,0.7000
network.m_cross_layer,Male probability of a concurrent partnership across marital/casual layers,Prior from HPVsim network calibration (Stuart et al. 2024),0.3500,0.9500,0.7600,0.8250,0.8500,0.7112,0.9000,0.7000,0.9000
network.f_cross_layer,Female probability of a concurrent partnership across marital/casual layers,Prior from HPVsim network calibration (Stuart et al. 2024),0.2000,0.9500,0.8700,0.8280,0.8000,0.7500,0.9387,0.7500,0.9500
network.m_partners_casual,Male mean casual partners per year (Poisson rate),Prior from HPVsim network calibration (Stuart et al. 2024),0.1000,0.6000,0.5000,0.2560,0.2500,0.1000,0.5275,0.1000,0.5500
network.f_partners_casual,Female mean casual partners per year (Poisson rate),Prior from HPVsim network calibration (Stuart et al. 2024),0.1000,0.6000,0.2000,0.3710,0.3500,0.1113,0.5500,0.1000,0.6000
hiv.rel_sus_lo,HIV+ relative HPV susceptibility at low CD4,Prior informed by Liu et al. 2018 meta-analysis (ref 25),2.0000,5.0000,2.2500,3.1850,3.0000,2.0000,5.0000,2.0000,5.0000
hiv.rel_sus_hi,HIV+ relative HPV susceptibility at high CD4,Prior informed by Liu et al. 2018 meta-analysis (ref 25),2.0000,4.0000,2.2500,2.3900,2.2500,2.0000,3.5000,2.0000,3.5000
hiv.rel_sev_lo,HIV+ relative multiplier on HPV disease progression at low CD4,Prior informed by Liu et al. 2018 meta-analysis (ref 25),1.5000,5.0000,2.2500,2.7900,2.5000,1.5000,4.6937,1.5000,4.7500
hiv.rel_sev_hi,HIV+ relative multiplier on HPV disease progression at high CD4,Prior informed by Liu et al. 2018 meta-analysis (ref 25),1.5000,5.0000,2.2500,1.7000,1.7500,1.5000,2.1937,1.5000,3.5000
hiv.p_effective_art,Probability that ART fully suppresses HIV-driven HPV effects,Prior from UNAIDS ART effectiveness estimates,0.7000,0.9500,0.9000,0.8444,0.8400,0.7600,0.9500,0.7600,0.9500
