scenario,cumulative_cancers,screens,ablations,LEEP_procedures,radiation_courses,therapeutic_vaccine_doses,prophylactic_vaccine_doses
No interventions,304320,0,0,0,0,0,0
S&T&T 18%,100969,7833809,1102074,53465,119143,0,13539722
S&T&T 35%,94348,14323237,1880674,88911,214607,0,13558636
S&T&T 70%,87241,27501360,3582931,173204,360557,0,13539424
S&T 18%,94755,7698433,2079792,94570,118398,0,13557296
S&T 35%,85204,14054420,3558805,168141,195842,0,13554466
S&T 70%,62759,25477863,5538368,263008,304709,0,13541807
"S&T 70%, 50% LTFU",77729,26688208,4331448,130611,345664,0,13556551
S&TxV&T&T 18%,99632,7721517,1063054,50338,109761,2819969,13546424
S&TxV&T&T 35%,86796,13791859,1703449,81464,198522,4546055,13543296
S&TxV&T&T 70%,71169,25458502,2825926,130313,313495,7482188,13553423
S&TxV 18%,95904,7707964,33211,1191,4021,2787949,13561317
S&TxV 35%,86425,14011082,67912,2979,7893,4746066,13538680
S&TxV 70%,64098,25755466,154439,6851,18169,7666413,13549700
HPV-Faster 18%,92574,7652265,997824,43636,106335,0,13548956
HPV-Faster 35%,81466,7692624,976825,47062,103059,0,13549402
HPV-Faster 70%,58970,6830326,637714,30381,70741,0,13555657
"Mass TxV 90/0, 18%",95852,7507804,985463,46913,111995,1694215,13556551
"Mass TxV 90/0, 35%",91085,7620692,1000802,48998,111399,3298626,13546573
"Mass TxV 90/0, 70%",79093,6967936,747474,34700,93825,6564786,13552232
"Mass TxV 50/90, 18%",93466,7733729,1019567,47657,113782,1694215,13552083
"Mass TxV 50/90, 35%",81108,7543249,919934,42147,96655,3298626,13547466
"Mass TxV 50/90, 70%",61685,6851325,615970,28445,70741,6564786,13542254
