scenario,comparator,dalys_averted_med,dalys_averted_lo,dalys_averted_hi,cancers_averted_med,cancers_averted_lo,cancers_averted_hi,txv_doses_med,icer_p0,P_opp_cost_130_base,P_opp_cost_130_low,P_opp_cost_130_high,P_gdp_half_450_base,P_gdp_half_450_low,P_gdp_half_450_high,P_gdp_full_900_base,P_gdp_full_900_low,P_gdp_full_900_high
S&TxV 18%,S&T&T 18%,60689.48,34799.53,94881.40,2393.47,1417.83,3372.32,1397149.25,-1901.81,88.26,35.98,166.20,102.16,49.88,180.10,121.71,69.43,199.65
S&TxV 18%,S&T 70%,-323062.19,-387889.61,-234048.00,-11796.81,-14268.05,-9021.96,1397149.25,,305.40,108.33,583.57,231.40,34.33,509.57,127.35,-69.72,405.52
S&TxV 35%,S&T&T 18%,182096.15,149029.23,261373.77,6694.83,5421.80,9535.98,2503243.01,-434.84,41.09,19.52,76.11,64.37,42.80,99.39,97.10,75.53,132.12
S&TxV 35%,S&T 70%,-173967.64,-245168.07,-134734.22,-6451.61,-8955.99,-5305.30,2503243.01,,163.72,61.33,310.50,141.48,39.10,288.26,110.21,7.82,256.98
S&TxV 70%,S&T&T 18%,385049.47,309097.63,589374.47,14085.92,11462.94,21039.83,4032330.54,-14.28,13.78,10.15,24.29,44.33,40.70,54.85,87.31,83.68,97.82
S&TxV 70%,S&T 70%,10941.52,-4260.64,57556.35,76.82,-318.35,1968.19,4032330.54,-32789.07,89.32,35.52,169.21,90.19,36.39,170.08,91.41,37.61,171.30
S&TxV&T&T 18%,S&T&T 18%,24837.03,1683.74,59179.93,944.79,279.78,2108.00,1372809.30,-170.56,5.44,3.53,8.20,11.23,9.32,13.99,19.37,17.47,22.13
S&TxV&T&T 18%,S&T 70%,-357808.23,-473846.58,-254953.85,-13072.40,-17215.12,-9829.89,1372809.30,,226.53,77.26,433.07,143.13,-6.14,349.67,25.84,-123.43,232.38
S&TxV&T&T 35%,S&T&T 18%,121990.21,69912.77,174953.32,4677.70,2767.62,6701.90,2365962.80,983.85,-44.02,-86.64,-13.48,-27.53,-70.14,3.02,-4.32,-46.94,26.22
S&TxV&T&T 35%,S&T 70%,-255774.25,-329416.61,-207591.16,-9359.40,-11885.65,-7826.58,2365962.80,,84.53,29.57,160.15,49.94,-5.02,125.56,1.29,-53.67,76.91
S&TxV&T&T 70%,S&T&T 18%,273472.08,197110.87,379837.41,10368.18,7809.03,14331.37,3932267.30,1173.42,-72.57,-140.33,-23.69,-50.31,-118.08,-1.43,-19.02,-86.78,29.86
S&TxV&T&T 70%,S&T 70%,-107811.19,-130794.11,-80865.22,-3841.38,-4612.79,-2632.94,3932267.30,,4.67,2.10,8.04,-4.11,-6.67,-0.73,-16.44,-19.01,-13.07
"Mass TxV 90/0, 18%",S&T&T 18%,71395.35,37149.05,134732.48,2989.11,1516.79,5293.58,1694215.17,-122.91,10.66,7.61,14.97,24.14,21.10,28.45,43.11,40.06,47.41
"Mass TxV 90/0, 18%",S&T 70%,-294037.42,-372730.40,-242461.47,-10852.85,-13598.34,-9089.86,1694215.17,,191.13,68.67,360.56,135.59,13.14,305.02,57.49,-64.96,226.92
"Mass TxV 90/0, 35%",S&T&T 18%,108290.04,61050.00,161300.40,4552.10,2634.28,6286.73,3298626.21,-107.89,7.81,5.73,10.75,18.31,16.24,21.26,33.09,31.01,36.03
"Mass TxV 90/0, 35%",S&T 70%,-283362.58,-351506.55,-205517.40,-10164.86,-12304.62,-7333.13,3298626.21,,99.47,36.06,187.22,71.98,8.57,159.73,33.32,-30.09,121.08
"Mass TxV 90/0, 70%",S&T&T 18%,217694.17,180001.65,279280.60,8958.07,7277.15,10865.82,6564785.91,-108.37,7.90,5.80,10.89,18.52,16.41,21.50,33.44,31.33,36.43
"Mass TxV 90/0, 70%",S&T 70%,-168595.86,-203262.76,-109145.28,-5394.09,-6828.84,-3667.66,6564785.91,,54.07,21.14,99.67,45.85,12.92,91.45,34.29,1.37,79.89
"Mass TxV 50/90, 18%",S&T&T 18%,136468.83,99075.10,187426.71,5200.43,3689.36,7101.96,1694215.17,-101.02,18.61,13.62,25.86,44.38,39.40,51.63,80.63,75.65,87.88
"Mass TxV 50/90, 18%",S&T 70%,-239412.14,-304177.27,-169191.04,-8895.12,-10984.03,-6416.08,1694215.17,,198.28,73.88,370.65,153.06,28.67,325.43,89.47,-34.93,261.84
"Mass TxV 50/90, 35%",S&T&T 18%,250429.65,214399.72,326950.35,9163.03,7788.76,12203.94,3298626.21,-112.90,18.44,13.13,26.20,42.73,37.43,50.49,76.90,71.59,84.66
"Mass TxV 50/90, 35%",S&T 70%,-113495.12,-140853.91,-79963.49,-4180.05,-5253.46,-3297.99,3298626.21,,111.19,44.56,203.76,100.18,33.55,192.75,84.70,18.06,177.27
"Mass TxV 50/90, 70%",S&T&T 18%,508294.63,463150.00,678761.59,18364.24,16942.37,24339.70,6564785.91,-103.89,18.11,13.14,25.37,42.89,37.92,50.15,77.73,72.76,84.99
"Mass TxV 50/90, 70%",S&T 70%,154719.11,127268.02,168739.10,5183.61,4079.30,5759.58,6564785.91,-2624.56,64.92,29.13,114.80,72.46,36.68,122.34,83.07,47.28,132.94
