year,metric,med,pi95_low,pi95_high
2000,asr_cancer_incidence,20.349108287398096,14.490653320191022,26.430221960359713
2001,asr_cancer_incidence,19.982280378090035,14.74254139029265,26.873972488921424
2002,asr_cancer_incidence,19.96128808513562,14.314820331859321,26.108872826079477
2003,asr_cancer_incidence,20.234080051646856,14.5040302439291,26.456920655924026
2004,asr_cancer_incidence,20.228049844489988,13.920923680069311,26.78744708880992
2005,asr_cancer_incidence,20.61002123376869,15.032777712422776,27.483206205712158
2006,asr_cancer_incidence,20.808229945316025,15.322520143869655,27.662080785225612
2007,asr_cancer_incidence,21.52782747785958,15.619844914091702,28.38005282338142
2008,asr_cancer_incidence,21.843974733774573,16.384493941753313,28.774325956576867
2009,asr_cancer_incidence,21.91295866499737,16.268315490894874,28.589419309830767
2010,asr_cancer_incidence,22.445092482055227,16.95391241073106,29.790942563364396
2011,asr_cancer_incidence,23.081231122255147,16.699412123900107,29.999247292401144
2012,asr_cancer_incidence,23.46454258945563,17.385153473920642,30.094869772067216
2013,asr_cancer_incidence,23.7888448000747,17.69466536685127,30.913616216055658
2014,asr_cancer_incidence,24.239624733407577,17.560417219301844,30.633775022159284
2015,asr_cancer_incidence,24.308202656253354,18.279067231932217,31.640249274459578
2016,asr_cancer_incidence,24.62064828559184,17.909148622337586,31.570456537199924
2017,asr_cancer_incidence,24.78869273152533,18.72543814584659,31.884400899658708
2018,asr_cancer_incidence,25.02463038263526,18.932336440177114,32.69262437243684
2019,asr_cancer_incidence,25.098355081446876,18.70531760697399,31.649832931706232
2020,asr_cancer_incidence,25.383129052740976,19.461172879845066,31.451588805042462
2021,asr_cancer_incidence,25.43827359527646,18.896753998219907,31.822687336144213
2022,asr_cancer_incidence,25.468598380438614,18.88545814557204,32.62956453797639
2023,asr_cancer_incidence,25.40476095137616,18.476143046761482,31.622083917909446
2024,asr_cancer_incidence,25.134941083039656,19.29809901872825,32.45436299613354
2025,asr_cancer_incidence,25.281449690911256,19.22689678308722,31.43150433065099
2000,cancer_incidence_with_hiv,21.752371372548044,9.478125438552306,40.0742101776257
2001,cancer_incidence_with_hiv,22.919956215542328,9.887442214603475,39.36921949153668
2002,cancer_incidence_with_hiv,23.731252997014114,10.863916283965318,43.6198264774506
2003,cancer_incidence_with_hiv,25.18045863064341,11.168140261939737,44.78597354366893
2004,cancer_incidence_with_hiv,24.62440295445161,11.920609176122161,44.643011047538266
2005,cancer_incidence_with_hiv,26.20259769728335,12.044975620476453,45.845748166497316
2006,cancer_incidence_with_hiv,27.898505519540876,13.183779808111826,51.46794556539951
2007,cancer_incidence_with_hiv,28.54322836641886,12.137463383570378,51.984316320570045
2008,cancer_incidence_with_hiv,29.14462151567918,15.294454445418571,52.14933500405078
2009,cancer_incidence_with_hiv,31.055560164543298,14.900647911214028,53.11093426702273
2010,cancer_incidence_with_hiv,31.9909781185887,14.021639969918697,57.70957173161373
2011,cancer_incidence_with_hiv,32.284370062827676,15.20038832731254,54.14635622496345
2012,cancer_incidence_with_hiv,31.761542829207905,14.537783084507915,60.13670078332847
2013,cancer_incidence_with_hiv,34.30148022170698,14.723412766006247,61.64996203312773
2014,cancer_incidence_with_hiv,35.85600226816493,16.8493884242465,64.2187104310551
2015,cancer_incidence_with_hiv,37.102800279314806,17.937623339709287,62.36918374384298
2016,cancer_incidence_with_hiv,35.83589731986931,19.139932002588825,59.68571281093602
2017,cancer_incidence_with_hiv,44.688246095980105,29.200628739818303,63.97537953105281
2018,cancer_incidence_with_hiv,40.28054286721855,19.826644779458498,63.869510495235055
2019,cancer_incidence_with_hiv,40.57521280498811,22.164105202705464,65.51620933598258
2020,cancer_incidence_with_hiv,42.07354994175064,19.138887438928005,68.68373746763379
2021,cancer_incidence_with_hiv,42.64733003327182,20.53456597168794,72.00763555740099
2022,cancer_incidence_with_hiv,43.734034310022594,23.46333619592807,67.48457959261074
2023,cancer_incidence_with_hiv,43.49230964796091,21.44681042243711,68.57696210392785
2024,cancer_incidence_with_hiv,43.68187482353739,23.152151898994912,69.93985244695287
2025,cancer_incidence_with_hiv,44.57652390996413,23.926941206060096,70.5863116985416
2000,cancer_incidence_no_hiv,10.267333230072854,7.203940639189804,13.167187248055878
2001,cancer_incidence_no_hiv,10.467998272669158,7.784951856464489,13.894957177474033
2002,cancer_incidence_no_hiv,10.742252990817178,7.798292001112139,13.95959392056465
2003,cancer_incidence_no_hiv,11.162478828444527,7.897296997759576,14.975977577184667
2004,cancer_incidence_no_hiv,11.456764888851344,7.887290707849567,15.127679122291632
2005,cancer_incidence_no_hiv,11.703403757622363,8.82466312332898,15.667081572531895
2006,cancer_incidence_no_hiv,12.0093073674553,8.798652218030771,16.161650988902068
