scenario,year,metric,value,low,high
No interventions,1960.0,asr_cancer_incidence,0.0,0.0,0.0
No interventions,1961.0,asr_cancer_incidence,0.0,0.0,0.030392943267068644
No interventions,1962.0,asr_cancer_incidence,0.1784560835955299,0.0,0.3942879580252674
No interventions,1963.0,asr_cancer_incidence,0.469967723972773,0.24075500464159733,0.6793591021301828
No interventions,1964.0,asr_cancer_incidence,0.5660932584017202,0.3553599767365917,0.9066517417959378
No interventions,1965.0,asr_cancer_incidence,1.2253717337120376,0.5840169900908733,1.7510343414424188
No interventions,1966.0,asr_cancer_incidence,1.6398699103967624,1.101062848257704,1.947551956188015
No interventions,1967.0,asr_cancer_incidence,2.5475949680189216,1.7361020990659346,3.3445493985229025
No interventions,1968.0,asr_cancer_incidence,4.008474899563854,3.04638284954393,4.937498730428621
No interventions,1969.0,asr_cancer_incidence,3.362109665336204,2.7759805999134697,4.971468484051478
No interventions,1970.0,asr_cancer_incidence,4.894529932733043,4.191396934588188,6.7895862811008385
No interventions,1971.0,asr_cancer_incidence,7.241893501280956,4.511597395932201,7.910038673749151
No interventions,1972.0,asr_cancer_incidence,7.754165573615842,7.229522643502981,9.608522108545154
No interventions,1973.0,asr_cancer_incidence,9.559002891091563,8.620645930928813,12.024669771665366
No interventions,1974.0,asr_cancer_incidence,10.631099544848043,8.959920206775035,12.721200755407164
No interventions,1975.0,asr_cancer_incidence,12.274367471818882,9.907684787004186,13.578033732939785
No interventions,1976.0,asr_cancer_incidence,14.212287453795767,11.471456888118292,16.52642786365609
No interventions,1977.0,asr_cancer_incidence,14.580368528088602,10.74883854824446,16.77283915029424
No interventions,1978.0,asr_cancer_incidence,15.72301294741121,11.943526332235589,17.563613335608576
No interventions,1979.0,asr_cancer_incidence,17.828294766535308,14.489308253792393,21.375560050707627
No interventions,1980.0,asr_cancer_incidence,18.86663233524447,16.22026824183299,22.290456741638803
No interventions,1981.0,asr_cancer_incidence,19.505992865438014,17.189320456036725,20.843067174395838
No interventions,1982.0,asr_cancer_incidence,19.546274863960274,18.01368111403031,21.539708626067977
No interventions,1983.0,asr_cancer_incidence,19.621599945256406,17.001394717095987,21.547192485535763
No interventions,1984.0,asr_cancer_incidence,20.799451255484534,19.158113439056805,22.99383408992379
No interventions,1985.0,asr_cancer_incidence,20.05920801390868,19.257325717861335,24.19715652936936
No interventions,1986.0,asr_cancer_incidence,22.50608553221152,19.343095959625046,27.23023069178782
No interventions,1987.0,asr_cancer_incidence,21.792413938341888,20.55892107696231,25.72108079100125
No interventions,1988.0,asr_cancer_incidence,21.912516653539814,19.047940078220854,23.934618748396307
No interventions,1989.0,asr_cancer_incidence,22.144362419851532,20.359937143883187,23.893447504299584
No interventions,1990.0,asr_cancer_incidence,22.004795333563884,19.70992846457264,24.514552715354863
No interventions,1991.0,asr_cancer_incidence,21.861356446985873,20.20407120008633,23.508138009414964
No interventions,1992.0,asr_cancer_incidence,21.702732498265938,20.401307434045872,23.81366618747291
No interventions,1993.0,asr_cancer_incidence,21.798379041317183,19.44407951558337,24.405851694052508
No interventions,1994.0,asr_cancer_incidence,17.702805733180803,16.14144822287059,18.699696268600263
No interventions,1995.0,asr_cancer_incidence,27.664417612441888,25.82650152091452,32.49466271977501
No interventions,1996.0,asr_cancer_incidence,27.625839470698494,24.01087255184613,30.101450760115604
No interventions,1997.0,asr_cancer_incidence,22.03572521935611,20.51729986922643,25.54122374014505
No interventions,1998.0,asr_cancer_incidence,21.21503523196517,19.996143823128577,23.521259434558058
No interventions,1999.0,asr_cancer_incidence,20.112078721407087,17.829488971855433,21.812313710084915
No interventions,2000.0,asr_cancer_incidence,19.85831052602832,18.75742458075817,20.52669230086388
No interventions,2001.0,asr_cancer_incidence,18.52340271278219,17.422362207027223,21.351337405015514
No interventions,2002.0,asr_cancer_incidence,18.86246848265681,18.232253600053095,20.648063997949162
No interventions,2003.0,asr_cancer_incidence,19.509575351233835,17.820328570217935,20.620759166626037
No interventions,2004.0,asr_cancer_incidence,19.92773731143824,18.4153973633362,22.271441906071736
No interventions,2005.0,asr_cancer_incidence,18.92849878168945,17.642543515925777,21.777911933157466
No interventions,2006.0,asr_cancer_incidence,20.208774426750374,18.446029312311353,22.853017167130993
No interventions,2007.0,asr_cancer_incidence,20.423003895627403,17.894203294861708,22.018255927903326
No interventions,2008.0,asr_cancer_incidence,20.86889828981595,19.839377798138415,21.91541715740724
No interventions,2009.0,asr_cancer_incidence,20.68998377369683,19.132208557005615,21.733482605012572
No interventions,2010.0,asr_cancer_incidence,22.516537011756718,20.744684045843147,24.592479422987797
No interventions,2011.0,asr_cancer_incidence,22.721527845728335,21.110572107525865,24.33021184418617
No interventions,2012.0,asr_cancer_incidence,22.850269500085645,21.285827027965624,23.820345548902818
No interventions,2013.0,asr_cancer_incidence,22.317843298883204,20.9883503276237,23.995957063224754
No interventions,2014.0,asr_cancer_incidence,22.215965598157823,21.143079536145496,27.11184923857932
No interventions,2015.0,asr_cancer_incidence,24.146475031288055,21.07303832053821,25.306853181144803
No interventions,2016.0,asr_cancer_incidence,23.134194265901268,21.59146835756034,24.307632426032825
No interventions,2017.0,asr_cancer_incidence,23.34954793391107,22.35737062571999,24.324628198292523
No interventions,2018.0,asr_cancer_incidence,23.56806726443518,21.735488972256157,26.891101062708657
No interventions,2019.0,asr_cancer_incidence,23.905076965081108,21.958780287214704,25.554246892131534
No interventions,2020.0,asr_cancer_incidence,24.47906184804252,23.254011878314085,26.476977281304976
No interventions,2021.0,asr_cancer_incidence,23.15896294578368,21.60264664558193,25.339251335868784
No interventions,2022.0,asr_cancer_incidence,24.467127470869222,22.503212342891644,27.010470980423822
No interventions,2023.0,asr_cancer_incidence,24.689958492357277,23.193769945206004,27.401355817700388
No interventions,2024.0,asr_cancer_incidence,24.28340486270995,22.676540883164265,25.87841632036534
No interventions,2025.0,asr_cancer_incidence,24.45976564492731,23.168954754029944,26.15221719036736
No interventions,2026.0,asr_cancer_incidence,24.331024431994393,23.152832964613523,25.475889103729074
No interventions,2027.0,asr_cancer_incidence,23.891004854728685,22.45014919803537,25.448360077645873
No interventions,2028.0,asr_cancer_incidence,23.862000583284726,22.711712115162545,25.498049667519574
No interventions,2029.0,asr_cancer_incidence,24.2236969127315,23.22273630970393,24.98483363738391
No interventions,2030.0,asr_cancer_incidence,23.96801654849108,22.351793623969208,24.940514592702943
No interventions,2031.0,asr_cancer_incidence,23.503512187887704,22.300060133724436,24.33264573707229
No interventions,2032.0,asr_cancer_incidence,23.216390508402633,21.693736370475115,25.148312686899327
No interventions,2033.0,asr_cancer_incidence,23.27140060878871,22.246334893060123,24.511339897769204
No interventions,2034.0,asr_cancer_incidence,23.603845618022568,23.006533477963163,23.89391901969207
No interventions,2035.0,asr_cancer_incidence,23.052630133157848,21.793885899508858,23.49607640328208
No interventions,2036.0,asr_cancer_incidence,22.752282392642467,21.710474934923045,23.75884657681156
No interventions,2037.0,asr_cancer_incidence,21.994121126846053,21.184702012616476,23.225727044455507
No interventions,2038.0,asr_cancer_incidence,22.561692997207476,21.414176196557687,23.868769391305786
No interventions,2039.0,asr_cancer_incidence,22.38519570381245,21.688989671502792,22.927543837510118
No interventions,2040.0,asr_cancer_incidence,22.265362232294564,21.166325154052313,23.946736598807107
No interventions,2041.0,asr_cancer_incidence,21.637408032585817,20.74861084064525,22.685637982935262
No interventions,2042.0,asr_cancer_incidence,21.77751183164318,20.78912362794608,22.442344937744952
No interventions,2043.0,asr_cancer_incidence,21.957373489946416,20.100667375662628,23.59551732948675
No interventions,2044.0,asr_cancer_incidence,22.073288081878587,20.129650738601534,22.950970784561463
