scenario,metric,value,low,high
No interventions,cancers,208889.17362976074,201140.40213012698,217348.03736877444
No interventions,cancers_with_hiv,2991.9816694259644,2084.4089346408846,4032.101151800155
No interventions,cancers_no_hiv,205953.78701210022,197987.28176970483,214348.908960104
No interventions,cancer_deaths,167382.69104766846,160212.06125183107,174703.1439300537
No interventions,ablations,0.0,,
No interventions,txvs,0.0,,
No interventions,vaccinations,0.0,,
No interventions,screens,0.0,,
No interventions,excisions,0.0,,
No interventions,leeps,0.0,,
No interventions,cancer_treatments,0.0,,
Baseline,cancers,68525.1649093628,63904.198813629155,72727.0448852539
Baseline,cancers_with_hiv,1548.860596895218,999.3129461288454,2227.9764039516454
Baseline,cancers_no_hiv,66939.07221078873,62374.40142116547,71145.1224071026
Baseline,cancer_deaths,61230.632751464844,56939.69260253907,65180.52550354004
Baseline,ablations,846312.2184448242,,
Baseline,txvs,0.0,,
Baseline,vaccinations,0.0,,
Baseline,screens,12189229.369140625,,
Baseline,excisions,0.0,,
Baseline,leeps,499864.94696331024,,
Baseline,cancer_treatments,0.0,,
S&T&T 18%,cancers,68849.8296661377,64369.750384521474,73603.04458618166
S&T&T 18%,cancers_with_hiv,1569.7106413841248,1050.544486141205,2217.5513758659363
S&T&T 18%,cancers_no_hiv,67230.97267651558,62842.335961818695,71968.99704041482
S&T&T 18%,cancer_deaths,61620.82657623291,56964.11702117919,65728.28609771728
S&T&T 18%,ablations,820723.2662658691,,
S&T&T 18%,txvs,0.0,,
S&T&T 18%,vaccinations,0.0,,
S&T&T 18%,screens,12146218.842773438,,
S&T&T 18%,excisions,0.0,,
S&T&T 18%,leeps,470088.1058692932,,
S&T&T 18%,cancer_treatments,0.0,,
S&T 18%,cancers,61594.01340484619,57393.62318267823,65940.65265808106
S&T 18%,cancers_with_hiv,1395.4638278484344,864.3833588123323,2003.093757200241
S&T 18%,cancers_no_hiv,60205.99625492096,56035.391485834116,64457.91667037009
S&T 18%,cancer_deaths,55423.89406585693,51615.78146057129,59675.21919708252
S&T 18%,ablations,2417017.8149414062,,
S&T 18%,txvs,0.0,,
S&T 18%,vaccinations,0.0,,
S&T 18%,screens,12166675.518554688,,
S&T 18%,excisions,0.0,,
S&T 18%,leeps,1564795.9017333984,,
S&T 18%,cancer_treatments,0.0,,
S&TxV&T&T 18%,cancers,59108.39033126831,54948.806036376955,63447.88040466308
S&TxV&T&T 18%,cancers_with_hiv,1437.1639158725739,905.1898754119875,2065.3460367679595
S&TxV&T&T 18%,cancers_no_hiv,57616.123046875,53531.598975849156,61974.676304960245
S&TxV&T&T 18%,cancer_deaths,54671.80268096924,50667.99755249023,58349.15540618897
S&TxV&T&T 18%,ablations,755936.2258911133,,
S&TxV&T&T 18%,txvs,2850275.921875,,
S&TxV&T&T 18%,vaccinations,0.0,,
S&TxV&T&T 18%,screens,12209516.317382812,,
S&TxV&T&T 18%,excisions,0.0,,
S&TxV&T&T 18%,leeps,439754.2637729645,,
S&TxV&T&T 18%,cancer_treatments,0.0,,
S&TxV 18%,cancers,53751.41806793213,49986.495217132564,57670.03487777709
S&TxV 18%,cancers_with_hiv,1358.231598854065,829.2361351013185,1895.8649470806124
S&TxV 18%,cancers_no_hiv,52364.89000415802,48686.346027135856,56230.78634076119
S&TxV 18%,cancer_deaths,49996.92381668091,46097.36887435913,53539.04931335449
S&TxV 18%,ablations,43776.157958984375,,
S&TxV 18%,txvs,2904352.0146484375,,
S&TxV 18%,vaccinations,0.0,,
S&TxV 18%,screens,12124880.077148438,,
S&TxV 18%,excisions,0.0,,
S&TxV 18%,leeps,21025.78162765503,,
S&TxV 18%,cancer_treatments,0.0,,
S&T&T 35%,cancers,63902.411602020264,59623.38606414795,68399.17070770264
