name,state,genotype,result,probability
tx_assigner_faster,susceptible,all,ablation,0
tx_assigner_faster,susceptible,all,excision,0
tx_assigner_faster,susceptible,all,radiation,0
tx_assigner_faster,susceptible,all,none,1
tx_assigner_faster,latent,all,ablation,0.05
tx_assigner_faster,latent,all,excision,0
tx_assigner_faster,latent,all,radiation,0
tx_assigner_faster,latent,all,none,0.95
tx_assigner_faster,precin,all,ablation,0.9
tx_assigner_faster,precin,all,excision,0.1
tx_assigner_faster,precin,all,radiation,0
tx_assigner_faster,precin,all,none,0
tx_assigner_faster,cin,all,ablation,0.9
tx_assigner_faster,cin,all,excision,0.1
tx_assigner_faster,cin,all,radiation,0
tx_assigner_faster,cin,all,none,0
tx_assigner_faster,cancerous,all,ablation,0
tx_assigner_faster,cancerous,all,excision,0
tx_assigner_faster,cancerous,all,radiation,1
tx_assigner_faster,cancerous,all,none,0
