name,state,genotype,result,probability
txv_precin_assigner,susceptible,all,ablation,0
txv_precin_assigner,susceptible,all,excision,0
txv_precin_assigner,susceptible,all,txv,0
txv_precin_assigner,susceptible,all,radiation,0
txv_precin_assigner,susceptible,all,none,1
txv_precin_assigner,latent,all,ablation,0
txv_precin_assigner,latent,all,excision,0
txv_precin_assigner,latent,all,txv,0
txv_precin_assigner,latent,all,radiation,0
txv_precin_assigner,latent,all,none,1
txv_precin_assigner,precin,all,ablation,0
txv_precin_assigner,precin,all,txv,1
txv_precin_assigner,precin,all,excision,0
txv_precin_assigner,precin,all,radiation,0
txv_precin_assigner,precin,all,none,0
txv_precin_assigner,cin,all,ablation,0.9
txv_precin_assigner,cin,all,txv,0.05
txv_precin_assigner,cin,all,excision,0.05
txv_precin_assigner,cin,all,radiation,0
txv_precin_assigner,cin,all,none,0
txv_precin_assigner,cancerous,all,ablation,0
txv_precin_assigner,cancerous,all,txv,0
txv_precin_assigner,cancerous,all,excision,0
txv_precin_assigner,cancerous,all,radiation,1
txv_precin_assigner,cancerous,all,none,0
