name,state,genotype,result,probability
via,susceptible,hpv16,positive,0.05
via,susceptible,hpv16,negative,0.95
via,susceptible,hpv16,inadequate,0
via,susceptible,hpv18,positive,0.05
via,susceptible,hpv18,negative,0.95
via,susceptible,hpv18,inadequate,0
via,susceptible,hi5,positive,0.05
via,susceptible,hi5,negative,0.95
via,susceptible,hi5,inadequate,0
via,susceptible,hpv45,positive,0.05
via,susceptible,hpv45,negative,0.95
via,susceptible,hpv45,inadequate,0
via,susceptible,hi4,positive,0.05
via,susceptible,hi4,negative,0.95
via,susceptible,hi4,inadequate,0
via,susceptible,ohr,positive,0.05
via,susceptible,ohr,negative,0.95
via,susceptible,ohr,inadequate,0
via,susceptible,hr,positive,0.05
via,susceptible,hr,negative,0.95
via,susceptible,hr,inadequate,0
via,susceptible,lr,positive,0.05
via,susceptible,lr,negative,0.95
via,susceptible,lr,inadequate,0
via,latent,hpv16,positive,0.05
via,latent,hpv16,negative,0.95
via,latent,hpv16,inadequate,0
via,latent,hpv18,positive,0.05
via,latent,hpv18,negative,0.95
via,latent,hpv18,inadequate,0
via,latent,hi5,positive,0.05
via,latent,hi5,negative,0.95
via,latent,hi5,inadequate,0
via,latent,hpv45,positive,0.05
via,latent,hpv45,negative,0.95
via,latent,hpv45,inadequate,0
via,latent,hi4,positive,0.05
via,latent,hi4,negative,0.95
via,latent,hi4,inadequate,0
via,latent,ohr,positive,0.05
via,latent,ohr,negative,0.95
via,latent,ohr,inadequate,0
via,latent,hr,positive,0.05
via,latent,hr,negative,0.95
via,latent,hr,inadequate,0
via,latent,lr,positive,0.05
via,latent,lr,negative,0.95
via,latent,lr,inadequate,0
via,precin,hpv16,positive,0.15
via,precin,hpv16,negative,0.85
via,precin,hpv16,inadequate,0
via,precin,hpv18,positive,0.15
via,precin,hpv18,negative,0.85
via,precin,hpv18,inadequate,0
via,precin,hi5,positive,0.15
via,precin,hi5,negative,0.85
via,precin,hi5,inadequate,0
via,precin,hpv45,positive,0.15
via,precin,hpv45,negative,0.85
via,precin,hpv45,inadequate,0
via,precin,hi4,positive,0.15
via,precin,hi4,negative,0.85
via,precin,hi4,inadequate,0
via,precin,ohr,positive,0.15
via,precin,ohr,negative,0.85
via,precin,ohr,inadequate,0
via,precin,hr,positive,0.15
via,precin,hr,negative,0.85
via,precin,hr,inadequate,0
via,precin,lr,positive,0.15
via,precin,lr,negative,0.85
via,precin,lr,inadequate,0
via,cin,hpv16,positive,0.55
via,cin,hpv16,negative,0.45
via,cin,hpv16,inadequate,0
via,cin,hpv18,positive,0.55
via,cin,hpv18,negative,0.45
via,cin,hpv18,inadequate,0
via,cin,hi5,positive,0.55
via,cin,hi5,negative,0.45
via,cin,hi5,inadequate,0
via,cin,hpv45,positive,0.55
via,cin,hpv45,negative,0.45
via,cin,hpv45,inadequate,0
via,cin,hi4,positive,0.55
via,cin,hi4,negative,0.45
via,cin,hi4,inadequate,0
via,cin,ohr,positive,0.55
via,cin,ohr,negative,0.45
via,cin,ohr,inadequate,0
via,cin,hr,positive,0.55
via,cin,hr,negative,0.45
via,cin,hr,inadequate,0
via,cin,lr,positive,0.55
via,cin,lr,negative,0.45
via,cin,lr,inadequate,0
via,cancerous,hpv16,positive,0.80
via,cancerous,hpv16,negative,0.20
via,cancerous,hpv16,inadequate,0
via,cancerous,hpv18,positive,0.80
via,cancerous,hpv18,negative,0.20
via,cancerous,hpv18,inadequate,0
via,cancerous,hi5,positive,0.80
via,cancerous,hi5,negative,0.20
via,cancerous,hi5,inadequate,0
via,cancerous,hpv45,positive,0.80
via,cancerous,hpv45,negative,0.20
via,cancerous,hpv45,inadequate,0
via,cancerous,hi4,positive,0.80
via,cancerous,hi4,negative,0.20
via,cancerous,hi4,inadequate,0
via,cancerous,ohr,positive,0.80
via,cancerous,ohr,negative,0.20
via,cancerous,ohr,inadequate,0
via,cancerous,hr,positive,0.80
via,cancerous,hr,negative,0.20
via,cancerous,hr,inadequate,0
via,cancerous,lr,positive,0.80
via,cancerous,lr,negative,0.20
via,cancerous,lr,inadequate,0
